Phil Spector,A Christmas Gift for You From Phil Spector,2kzkwgOFAtRsDsas5Hi0Qu
"Dr. John, the Night Tripper",Gris-Gris,1yBoaVrgcup2hX2DCYUajs
N.W.A,Straight Outta Compton,0Y7qkJVZ06tS2GUCDptzyW
Steely Dan,Aja,51XjnQQ9SR8VSEpxPO9vrW
Jefferson Airplane,Surrealistic Pillow,6lPb7Eoon6QPbscWbMsk6a
"Crosby, Stills, Nash & Young",Deja vu,5bHkK1X4WEOzNvRhehvOcb
Led Zeppelin,Houses of the Holy,5phxHbK2GSr7hEu4orLywP
Santana,Santana,1S7KWH0szrqutOvzsqxiBv
Bruce Springsteen,Darkness on the Edge of Town,4KT6G8fj8EEIfsyr75hbgc
Arcade Fire,Funeral,2x657XotA7LCsPElXmXX4W
A Tribe Called Quest,The Low End Theory,1p12OAWwudgMqfMzjMvl2a
Howlin' Wolf,Moanin' in the Moonlight,76MT4lqzC1oSvSYnHHjMam
Pretenders,Pretenders,6AFFu3ilmlEDz1I9ZaNOZw
Beastie Boys,Paul's Boutique,1kmyirVya5fRxdjsPFDM05
Joy Division,Closer,0rSLgV8p5FzfnqlEk4GzxE
Elton John,Captain Fantastic and the Brown Dirt Cowboy,4UcpKa4yD9AA3iEHI8MFSF
KISS,Alive,6NykyYzeUp4LTAN5hAAKPk
T. Rex,Electric Warrior,6k1iylSzWOs7SgavxlJ8kt
Otis Redding,The Dock of the Bay,03HMOcANauhLD0WNrMkmLU
Radiohead,OK Computer,7dxKtc08dYeRVHt3p9CZJn
Prince,1999,5ra51AaWF3iVebyhlZ1aqq
Marvin Gaye,Let's Get It On,6AmnVWOxXYucWxgidEgwhy
Elvis Costello & The Attractions,Imperial Bedroom,1pK8MLyjgvt8pNVkQCBnSg
Metallica,Master of Puppets,7CGhx630DIjdJqaBDVKc5j
Elvis Costello,My Aim Is True,1aucGNKimhgARC7iO2xLt2
Bob Marley & The Wailers,Exodus,1vHvJVBK0WnpbYFw4f4UTD
The Who,Live at Leeds,6W3aTLI4B5UsPpWMvhT2W4
The Byrds,The Notorious Byrd Brothers,5UI2X5VAmgu9xrlXDd5U7B
Rod Stewart,Every Picture Tells a Story,4VykjLwkyfKMZVLrJJVrYh
Todd Rundgren,SomethingAnything,3fRCOoTbBsOITBWlCRCJQr
Bob Dylan,Desire,3P2WRy9eBoBbSTCZWGQOoO
Carpenters,Close to You,1CsuCA05y9r7ftG9bGGtWV
Aerosmith,Rocks,3xGZrrUdbVXu3CRXSSsPQZ
Funkadelic,One Nation Under a Groove,3Wqa5okQnEdBdDufivaagT
Curtis Mayfield and The Impressions,The Anthology 1961-1977,6cGEyuMB2SHLyPyY6gi9GO
ABBA,The Definitive Collection,4E1itnJOhTMRSATNaxh0Sq
